customer_id,lifecycle_stage,segment,nps_score,preferred_channel,consent_marketing,last_order_date,total_orders,total_spent,clv_estimate
1,Active,Active,8,email,1,2023-03-03 05:00:00,4,2289.02,4125.29
2,Churned,At Risk,3,whatsapp,1,2023-01-11 11:00:00,2,532.45,1313.37
3,Customer,At Risk,9,in_app,0,2023-03-23 19:00:00,2,349.74,719.36
4,Churned,Loyal,4,whatsapp,1,2023-03-12 20:00:00,2,268.98,437.26
5,Churned,At Risk,1,in_app,1,2023-02-24 15:00:00,5,3117.89,6922.04
6,MQL,New,3,whatsapp,1,2023-02-20 05:00:00,1,222.85,521.12
7,Customer,Loyal,1,phone,1,2023-03-10 02:00:00,2,1764.79,2250.65
8,Customer,New,1,whatsapp,0,2023-03-08 11:00:00,3,1333.9,1841.81
9,Customer,Active,3,phone,1,2023-01-30 22:00:00,2,1138.1799999999998,1596.55
10,Churned,Loyal,5,whatsapp,1,2023-02-22 08:00:00,2,568.47,1175.42
11,Active,Active,6,in_app,0,2023-03-25 04:00:00,3,2028.5700000000002,3944.06
12,Customer,Loyal,9,in_app,1,2023-03-18 09:00:00,3,1239.81,2438.2
13,Churned,Churned,2,in_app,0,2023-02-22 14:00:00,1,29.93,72.34
15,MQL,At Risk,2,sms,1,2023-02-28 01:00:00,5,2588.47,5659.11
16,Active,Churned,9,email,1,2023-03-22 00:00:00,3,1352.03,1729.4
17,MQL,Active,5,in_app,1,2023-03-18 03:00:00,4,2081.6,3302.48
18,Active,At Risk,2,phone,1,2023-03-06 23:00:00,2,1935.29,3308.48
19,Churned,Loyal,1,in_app,1,2023-03-06 22:00:00,2,1178.3600000000001,1949.42
20,Lead,At Risk,7,sms,1,2023-01-18 14:00:00,1,769.59,1567.68
22,Active,New,4,phone,1,2023-01-14 08:00:00,1,809.56,1901.37
23,MQL,At Risk,0,sms,1,2023-03-01 05:00:00,4,2103.54,3215.2
25,Churned,New,2,phone,1,2023-03-17 08:00:00,4,2338.77,4379.65
26,Active,At Risk,9,whatsapp,0,2023-02-21 01:00:00,2,746.3199999999999,1645.76
27,Lead,New,7,email,1,2023-03-14 01:00:00,2,648.59,1091.39
28,Lead,Active,3,email,1,2023-02-17 03:00:00,4,3083.24,4117.25
29,Customer,Churned,6,sms,0,2023-03-22 22:00:00,5,3701.6099999999997,6533.09
32,Customer,Loyal,9,email,1,2023-03-06 13:00:00,1,966.73,1138.14
33,MQL,At Risk,1,sms,1,2023-01-14 01:00:00,2,912.6500000000001,2208.01
34,Active,Churned,6,sms,0,2023-03-13 13:00:00,3,1740.6999999999998,2097.11
35,Active,Loyal,4,sms,1,2023-01-26 07:00:00,1,380.18,651.57
36,Customer,Loyal,4,email,1,2023-01-18 12:00:00,2,1506.6599999999999,2775.02
37,Active,New,5,sms,1,2023-01-28 01:00:00,3,1907.41,4729.28
38,Active,Active,8,email,0,2023-01-14 11:00:00,1,221.72,295.43
39,Lead,Active,5,sms,0,2023-03-22 20:00:00,8,4620.38,5822.62
40,Customer,Churned,7,in_app,1,2023-02-20 00:00:00,1,344.72,383.39
41,Churned,Active,6,sms,1,2023-03-13 11:00:00,4,2198.66,2897.39
42,Customer,At Risk,8,phone,1,2023-03-17 07:00:00,4,1366.0,1898.99
43,Churned,Active,3,sms,1,2023-02-12 14:00:00,2,1809.88,3588.65
