interaction_id,customer_id,interaction_date,interaction_type,channel,agent_id,outcome,notes
1,1,2023-01-01,phone_call,email,21,follow_up,Synthetic interaction for CRM lab.
2,1,2023-01-16,meeting,sms,49,answered,Synthetic interaction for CRM lab.
3,1,2023-01-31,phone_call,in_app,22,escalated,Synthetic interaction for CRM lab.
4,1,2023-02-15,chatbot,phone,32,follow_up,Synthetic interaction for CRM lab.
5,1,2023-03-02,phone_call,whatsapp,39,no_answer,Synthetic interaction for CRM lab.
6,1,2023-03-17,chatbot,whatsapp,47,follow_up,Synthetic interaction for CRM lab.
7,2,2023-01-01,phone_call,sms,29,follow_up,Synthetic interaction for CRM lab.
8,2,2023-01-16,meeting,in_app,29,follow_up,Synthetic interaction for CRM lab.
9,2,2023-01-31,whatsapp,phone,20,resolved,Synthetic interaction for CRM lab.
10,3,2023-01-01,chatbot,whatsapp,45,escalated,Synthetic interaction for CRM lab.
11,3,2023-01-16,whatsapp,email,14,escalated,Synthetic interaction for CRM lab.
12,3,2023-01-31,chatbot,email,7,no_answer,Synthetic interaction for CRM lab.
13,4,2023-01-01,email,in_app,44,answered,Synthetic interaction for CRM lab.
14,4,2023-01-16,phone_call,whatsapp,16,answered,Synthetic interaction for CRM lab.
15,4,2023-01-31,email,phone,12,answered,Synthetic interaction for CRM lab.
16,4,2023-02-15,email,sms,26,answered,Synthetic interaction for CRM lab.
17,4,2023-03-02,meeting,email,23,follow_up,Synthetic interaction for CRM lab.
18,4,2023-03-17,chatbot,whatsapp,25,no_answer,Synthetic interaction for CRM lab.
19,4,2023-04-01,chatbot,whatsapp,14,resolved,Synthetic interaction for CRM lab.
20,4,2023-04-16,phone_call,whatsapp,28,follow_up,Synthetic interaction for CRM lab.
21,4,2023-05-01,whatsapp,email,40,resolved,Synthetic interaction for CRM lab.
22,5,2023-01-01,email,sms,46,answered,Synthetic interaction for CRM lab.
23,5,2023-01-16,phone_call,whatsapp,26,escalated,Synthetic interaction for CRM lab.
24,5,2023-01-31,chatbot,in_app,25,resolved,Synthetic interaction for CRM lab.
25,5,2023-02-15,phone_call,phone,2,no_answer,Synthetic interaction for CRM lab.
26,5,2023-03-02,chatbot,phone,47,resolved,Synthetic interaction for CRM lab.
27,5,2023-03-17,chatbot,phone,47,answered,Synthetic interaction for CRM lab.
