order_item_id,order_id,product_id,quantity,unit_price,unit_cost,line_revenue,line_cost,line_margin
1,1,470,2,169.03,101.61,338.07,203.22,134.85
2,1,489,3,346.59,169.19,1039.78,507.57,532.21
3,1,181,2,111.18,44.99,222.36,89.98,132.38
4,1,77,1,54.75,29.78,54.75,29.78,24.97
5,2,304,2,242.6,186.37,485.2,372.74,112.46
6,4,331,1,168.05,113.89,168.05,113.89,54.16
7,5,77,4,57.63,29.78,230.54,119.12,111.42
8,7,429,1,202.24,92.82,202.24,92.82,109.42
9,8,208,1,222.08,119.31,222.08,119.31,102.77
10,8,499,3,12.98,6.02,38.95,18.06,20.89
11,9,4,2,67.6,46.41,135.2,92.82,42.38
12,9,224,3,207.0,88.22,620.99,264.66,356.33
13,9,1,2,86.74,40.77,173.47,81.54,91.93
14,10,152,1,102.18,55.36,102.18,55.36,46.82
15,11,361,2,134.6,77.71,269.19,155.42,113.77
16,11,320,2,65.81,48.05,131.62,96.1,35.52
17,12,360,1,259.62,156.32,259.62,156.32,103.3
18,13,112,3,68.5,32.88,205.51,98.64,106.87
19,13,452,2,281.03,152.08,562.06,304.16,257.9
20,13,413,3,178.74,93.09,536.22,279.27,256.95
21,13,422,1,132.56,71.99,132.56,71.99,60.57
22,14,333,2,8.62,7.27,17.24,14.54,2.7
23,14,470,3,166.54,101.61,499.63,304.83,194.8
24,15,17,2,222.63,110.24,445.27,220.48,224.79
25,15,179,2,196.82,100.7,393.64,201.4,192.24
26,15,224,4,195.41,88.22,781.63,352.88,428.75
27,15,270,4,406.87,173.1,1627.47,692.4,935.07
28,16,267,4,276.79,185.42,1107.15,741.68,365.47
29,16,99,1,78.1,59.96,78.1,59.96,18.14
30,16,207,4,144.62,87.6,578.47,350.4,228.07
31,16,8,3,196.07,105.28,588.22,315.84,272.38
32,17,208,1,208.52,119.31,208.52,119.31,89.21
33,19,287,4,176.83,83.31,707.33,333.24,374.09
34,19,64,2,376.24,177.28,752.48,354.56,397.92
35,19,256,4,16.7,11.08,66.8,44.32,22.48
36,20,494,2,46.85,34.56,93.7,69.12,24.58
37,20,459,4,12.21,7.15,48.82,28.6,20.22
38,23,495,4,122.95,89.59,491.79,358.36,133.43
39,23,411,1,241.9,157.2,241.9,157.2,84.7
40,23,140,1,359.48,154.95,359.48,154.95,204.53
41,23,397,4,262.03,123.54,1048.1,494.16,553.94
42,23,328,2,301.98,153.4,603.97,306.8,297.17
43,25,377,3,301.32,129.63,903.97,388.89,515.08
44,28,489,4,337.4,169.19,1349.61,676.76,672.85
45,30,85,3,242.12,133.14,726.36,399.42,326.94
46,30,182,2,158.32,103.98,316.64,207.96,108.68
47,30,332,2,136.59,68.56,273.19,137.12,136.07
48,30,128,1,42.89,25.82,42.89,25.82,17.07
49,30,269,2,45.94,27.48,91.88,54.96,36.92
50,32,374,1,72.25,48.82,72.25,48.82,23.43
51,32,200,2,320.24,151.72,640.49,303.44,337.05
52,34,416,4,160.99,81.23,643.96,324.92,319.04
53,34,272,4,234.22,98.81,936.87,395.24,541.63
54,34,495,2,126.46,89.59,252.91,179.18,73.73
55,34,201,4,93.38,44.89,373.51,179.56,193.95
56,34,150,3,303.56,182.54,910.69,547.62,363.07
57,36,137,3,141.23,115.97,423.7,347.91,75.79
58,36,321,1,69.39,30.61,69.39,30.61,38.78
59,37,458,3,131.6,98.92,394.81,296.76,98.05
60,37,368,4,292.51,166.63,1170.04,666.52,503.52
61,38,274,4,269.52,134.02,1078.09,536.08,542.01
62,38,234,1,476.64,192.72,476.64,192.72,283.92
63,39,370,1,189.99,123.08,189.99,123.08,66.91
64,39,464,2,45.01,24.13,90.02,48.26,41.76
65,40,295,3,69.74,30.26,209.23,90.78,118.45
66,42,362,3,140.83,100.99,422.48,302.97,119.51
67,42,257,2,431.8,170.05,863.6,340.1,523.5
68,43,406,3,137.35,55.03,412.06,165.09,246.97
69,43,316,3,212.04,151.18,636.13,453.54,182.59
70,43,228,3,87.38,70.2,262.13,210.6,51.53
71,48,451,4,265.84,157.25,1063.37,629.0,434.37
72,48,447,4,149.15,103.69,596.6,414.76,181.84
73,48,367,2,154.35,91.19,308.7,182.38,126.32
74,48,133,4,427.75,190.21,1711.0,760.84,950.16
75,49,142,2,175.78,123.2,351.55,246.4,105.15
76,49,73,1,309.4,141.88,309.4,141.88,167.52
77,50,241,3,55.16,27.28,165.49,81.84,83.65
78,50,203,3,206.54,122.77,619.61,368.31,251.3
79,50,410,3,391.97,168.77,1175.91,506.31,669.6
80,50,300,2,324.84,177.17,649.69,354.34,295.35
81,51,112,4,68.52,32.88,274.07,131.52,142.55
82,51,337,3,16.42,8.58,49.27,25.74,23.53
