gl_id,account_id,transaction_date,amount
1,4000,2023-01-04 00:00:00,208.53109999999998
2,2000,2023-01-04 00:00:00,208.53109999999998
3,4000,2023-01-03 01:00:00,1175.7065
4,2000,2023-01-03 01:00:00,1175.7065
5,4000,2023-01-03 02:00:00,270.2576
6,2000,2023-01-03 02:00:00,270.2576
7,4000,2023-01-03 03:00:00,1122.7172
8,2000,2023-01-03 03:00:00,1122.7172
9,4000,2023-01-04 04:00:00,777.1735
10,2000,2023-01-04 04:00:00,777.1735
11,4000,2023-01-02 05:00:00,692.1602
12,2000,2023-01-02 05:00:00,692.1602
13,4000,2023-01-03 06:00:00,583.1216999999999
14,2000,2023-01-03 06:00:00,583.1216999999999
15,4000,2023-01-04 07:00:00,247.0514
16,2000,2023-01-04 07:00:00,247.0514
17,4000,2023-01-04 08:00:00,186.94000000000003
18,2000,2023-01-04 08:00:00,186.94000000000003
19,4000,2023-01-05 09:00:00,246.7752
20,2000,2023-01-05 09:00:00,246.7752
21,4000,2023-01-04 10:00:00,238.60490000000001
22,2000,2023-01-04 10:00:00,238.60490000000001
23,4000,2023-01-02 11:00:00,893.8081000000001
24,2000,2023-01-02 11:00:00,893.8081000000001
25,4000,2023-01-03 12:00:00,389.8328
26,2000,2023-01-03 12:00:00,389.8328
27,4000,2023-01-04 13:00:00,51.311099999999996
28,2000,2023-01-04 13:00:00,51.311099999999996
29,4000,2023-01-02 14:00:00,1128.5468
30,2000,2023-01-02 14:00:00,1128.5468
31,4000,2023-01-04 15:00:00,1042.8209
32,2000,2023-01-04 15:00:00,1042.8209
33,4000,2023-01-04 16:00:00,1063.478
34,2000,2023-01-04 16:00:00,1063.478
35,4000,2023-01-04 17:00:00,1147.7019
36,2000,2023-01-04 17:00:00,1147.7019
37,4000,2023-01-04 18:00:00,177.5598
38,2000,2023-01-04 18:00:00,177.5598
39,4000,2023-01-04 19:00:00,478.12080000000003
40,2000,2023-01-04 19:00:00,478.12080000000003
41,4000,2023-01-02 20:00:00,896.7733000000001
42,2000,2023-01-02 20:00:00,896.7733000000001
43,4000,2023-01-03 21:00:00,824.909
44,2000,2023-01-03 21:00:00,824.909
45,4000,2023-01-03 22:00:00,163.6458
46,2000,2023-01-03 22:00:00,163.6458
47,4000,2023-01-03 23:00:00,965.8788
48,2000,2023-01-03 23:00:00,965.8788
49,4000,2023-01-04 00:00:00,282.2105
50,2000,2023-01-04 00:00:00,282.2105
51,4000,2023-01-03 01:00:00,234.88459999999998
52,2000,2023-01-03 01:00:00,234.88459999999998
53,4000,2023-01-06 02:00:00,648.7737
