session_id,user_id,visit_date,device,country,traffic_source,landing_page,session_duration,pages_viewed,engaged_session
1,861,2023-03-22,tablet,USA,paid_search,/products,681,2,1
2,3773,2023-03-12,mobile,Mexico,paid_search,/contact,862,2,1
3,3093,2023-04-24,desktop,Brazil,paid_search,/products/category,223,11,1
4,467,2023-06-22,tablet,Colombia,organic,/checkout,496,7,1
5,4427,2023-02-21,mobile,Spain,direct,/home,195,3,1
6,3445,2023-04-26,tablet,Spain,paid_search,/blog,253,7,1
7,3172,2023-05-05,tablet,Colombia,organic,/home,895,3,1
8,2920,2023-05-07,desktop,Spain,paid_search,/blog,415,6,1
9,131,2023-03-06,desktop,Mexico,paid_search,/products/category,561,7,1
10,1686,2023-05-10,desktop,Colombia,email,/cart,895,5,1
11,770,2023-06-26,desktop,USA,organic,/products/category,403,7,1
12,2392,2023-01-22,mobile,USA,email,/blog,884,4,1
13,2434,2023-06-06,tablet,Brazil,paid_social,/contact,90,1,1
14,1185,2023-06-12,desktop,Colombia,paid_search,/contact,303,11,1
15,4556,2023-03-17,mobile,Mexico,referral,/cart,826,8,1
16,3386,2023-06-01,desktop,Colombia,referral,/products/category,667,10,1
17,4118,2023-04-04,tablet,Colombia,paid_search,/products,579,10,1
18,4844,2023-06-07,desktop,Mexico,email,/checkout,618,2,1
19,2905,2023-06-19,tablet,Spain,referral,/blog,716,9,1
20,475,2023-03-12,tablet,Mexico,organic,/blog,889,6,1
21,1083,2023-04-16,mobile,Colombia,direct,/contact,683,5,1
22,2559,2023-02-19,desktop,Colombia,referral,/cart,380,6,1
23,2048,2023-04-12,desktop,Colombia,direct,/cart,66,10,1
24,2748,2023-04-23,tablet,Colombia,paid_social,/contact,771,1,1
25,976,2023-01-30,desktop,Brazil,organic,/home,891,4,1
26,1807,2023-01-12,tablet,Spain,organic,/cart,871,6,1
27,190,2023-06-26,mobile,Colombia,email,/products,698,6,1
28,2735,2023-03-23,desktop,Brazil,paid_search,/checkout,237,6,1
29,3006,2023-02-15,tablet,Colombia,paid_search,/cart,338,7,1
30,4659,2023-06-20,desktop,Spain,organic,/home,134,9,1
31,1900,2023-05-10,desktop,Spain,direct,/blog,253,9,1
32,1268,2023-04-07,mobile,Mexico,paid_social,/checkout,7,3,0
33,1529,2023-03-21,tablet,Brazil,email,/cart,838,4,1
34,3203,2023-02-23,mobile,Spain,organic,/products,305,1,1
35,3557,2023-02-04,mobile,USA,paid_social,/products,402,1,1
36,3891,2023-02-21,mobile,Colombia,organic,/checkout,727,4,1
37,647,2023-06-10,tablet,Spain,paid_social,/home,753,6,1
38,2889,2023-03-25,tablet,Brazil,paid_social,/products,779,3,1
39,2436,2023-03-13,desktop,Brazil,referral,/products/category,7,5,0
40,601,2023-06-28,tablet,Brazil,paid_search,/products/category,440,9,1
41,2364,2023-01-26,mobile,Mexico,referral,/cart,577,11,1
42,2062,2023-03-02,tablet,Colombia,email,/products,411,1,1
43,242,2023-06-03,desktop,USA,email,/products/category,401,1,1
44,2042,2023-02-06,mobile,Brazil,referral,/cart,577,2,1
45,2825,2023-06-07,desktop,Colombia,paid_search,/cart,512,6,1
46,2613,2023-04-05,tablet,Brazil,direct,/cart,432,10,1
47,1364,2023-01-11,desktop,Brazil,referral,/home,14,11,0
48,1479,2023-06-30,desktop,USA,email,/cart,743,9,1
49,2557,2023-02-10,tablet,Colombia,paid_search,/home,421,8,1
50,776,2023-05-13,desktop,Brazil,paid_social,/products/category,785,11,1
51,4015,2023-03-07,tablet,Mexico,paid_social,/cart,742,5,1
52,35,2023-05-21,mobile,Brazil,email,/products/category,249,8,1
53,3153,2023-06-02,desktop,Colombia,paid_social,/products,23,5,0
54,1956,2023-06-21,mobile,Spain,email,/home,728,10,1
55,1586,2023-05-22,tablet,Brazil,organic,/contact,66,10,1
56,3944,2023-03-10,tablet,Mexico,paid_search,/contact,711,3,1
57,3074,2023-02-28,desktop,Mexico,direct,/products/category,599,7,1
58,1022,2023-06-29,desktop,Brazil,email,/cart,547,6,1
59,3462,2023-03-07,tablet,Colombia,direct,/products/category,407,7,1
60,2614,2023-03-09,tablet,Brazil,paid_search,/cart,46,5,1
61,3844,2023-01-12,mobile,Mexico,referral,/checkout,223,8,1
62,1501,2023-03-09,mobile,Brazil,paid_search,/blog,271,8,1
63,4799,2023-06-20,desktop,Mexico,organic,/home,243,11,1
64,162,2023-03-14,desktop,Spain,paid_search,/products,300,5,1
65,4298,2023-01-06,desktop,Brazil,paid_social,/products/category,847,10,1
66,1982,2023-01-15,desktop,USA,referral,/contact,469,11,1
67,996,2023-02-11,desktop,Brazil,direct,/blog,870,7,1
68,4912,2023-01-31,desktop,Mexico,paid_search,/products/category,374,4,1
69,3343,2023-06-30,desktop,Colombia,paid_search,/checkout,717,7,1
70,4552,2023-01-06,desktop,Mexico,direct,/cart,427,6,1
71,3799,2023-02-02,mobile,Spain,direct,/products,494,2,1
72,1276,2023-06-06,tablet,Colombia,organic,/cart,347,2,1
73,1017,2023-01-21,tablet,USA,paid_search,/cart,849,10,1
74,338,2023-05-04,desktop,USA,paid_social,/products/category,678,7,1
75,879,2023-04-04,tablet,Spain,paid_social,/products/category,767,7,1
76,1077,2023-05-29,desktop,Spain,organic,/products/category,725,3,1
77,4888,2023-04-10,mobile,Spain,paid_search,/blog,692,3,1
78,3994,2023-02-24,desktop,Spain,direct,/home,624,2,1
79,4860,2023-03-05,mobile,Brazil,paid_social,/home,106,10,1
80,380,2023-03-27,mobile,Mexico,referral,/products/category,291,10,1
81,493,2023-06-23,mobile,Brazil,referral,/cart,51,6,1
82,2063,2023-01-22,desktop,Colombia,paid_search,/products,52,11,1
83,3885,2023-03-01,mobile,USA,organic,/products,391,11,1
84,65,2023-04-14,desktop,USA,organic,/cart,305,6,1
85,2569,2023-05-19,mobile,Colombia,referral,/blog,182,11,1
86,2028,2023-02-16,mobile,USA,direct,/contact,295,9,1
87,2696,2023-06-08,tablet,Spain,organic,/checkout,40,6,0
88,1496,2023-03-18,desktop,Spain,organic,/cart,414,8,1
89,392,2023-01-18,tablet,Spain,organic,/products,734,5,1
90,4515,2023-01-22,mobile,Colombia,paid_social,/checkout,131,8,1
91,4475,2023-05-25,tablet,Mexico,direct,/blog,568,2,1
92,3562,2023-02-07,mobile,Colombia,direct,/blog,284,9,1
93,2279,2023-01-25,tablet,Mexico,direct,/checkout,266,6,1
94,3100,2023-02-01,tablet,USA,organic,/products,843,11,1
95,201,2023-05-23,desktop,USA,organic,/checkout,312,5,1
96,4876,2023-01-13,desktop,USA,referral,/blog,32,2,0
97,3105,2023-06-27,tablet,Mexico,paid_social,/home,49,10,1
98,4599,2023-01-11,tablet,USA,organic,/products/category,594,1,1
99,2455,2023-01-13,desktop,Colombia,paid_social,/blog,555,3,1
100,3646,2023-04-07,mobile,Mexico,direct,/blog,473,10,1
101,805,2023-06-27,mobile,Spain,paid_social,/checkout,655,8,1
102,2732,2023-04-11,mobile,Mexico,paid_search,/checkout,720,7,1
103,2774,2023-02-07,mobile,Colombia,email,/home,886,11,1
104,1571,2023-01-01,tablet,Colombia,organic,/home,253,9,1
105,2691,2023-02-08,mobile,Colombia,direct,/cart,694,7,1
106,3841,2023-01-27,tablet,USA,email,/contact,512,5,1
107,1029,2023-02-05,tablet,Spain,referral,/products,166,1,1
